Customer Name,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
Liz Pelletier,41,54,9465,1,1,1,111,At Risk
Liz Preis,1,71,16611,4,3,3,433,Loyal Customers
Liz Thompson,35,74,21217,1,3,4,134,Big Spenders
Liz Willingham,34,41,8045,2,1,1,211,At Risk
Logan Currie,14,71,16082,3,3,3,333,Loyal Customers
Logan Haushalter,76,72,17288,1,3,3,133,At Risk
Lori Olson,3,69,13541,4,3,2,432,Loyal Customers
Luke Foster,23,61,13422,2,2,2,222,At Risk
Luke Schmidt,16,58,15599,3,2,3,323,At Risk
Luke Weiss,22,53,12051,2,1,1,211,At Risk
Lycoris Saunders,5,79,11739,4,4,1,441,Loyal Customers
Lynn Smith,35,54,11713,1,1,1,111,At Risk
Magdelene Morse,5,66,21226,4,3,4,434,Loyal Customers
Marc Crier,45,69,15988,1,3,3,133,At Risk
Marc Harrigan,38,64,15401,1,2,3,123,At Risk
Maria Bertelson,2,60,21607,4,2,4,424,Recent Customers
Maria Etezadi,6,84,26252,4,4,4,444,Champions
Maria Zettner,22,53,17960,2,1,3,213,At Risk
Maribeth Dona,27,70,17829,2,3,3,233,At Risk
Maribeth Schnelling,6,79,21681,4,4,4,444,Champions
Maribeth Yedwab,30,56,16472,2,2,3,223,At Risk
Marina Lichtenstein,1,57,15555,4,2,3,423,Recent Customers
Maris LaWare,34,60,15175,2,2,2,222,At Risk
Mark Cousins,24,74,16548,2,3,3,233,At Risk
Mark Haberlin,9,73,11304,3,3,1,331,Loyal Customers
Mark Hamilton,55,64,14724,1,2,2,122,At Risk
Mark Packer,6,52,12987,4,1,2,412,Recent Customers
Mark Van Huff,17,57,11518,3,2,1,321,At Risk
Mary O'Rourke,37,57,11126,1,2,1,121,At Risk
Mary Zewe,24,77,16577,2,4,3,243,At Risk
MaryBeth Skach,16,63,14790,3,2,2,322,At Risk
Mathew Reese,98,76,21575,1,4,4,144,Big Spenders
Matt Abelman,65,82,12447,1,4,2,142,At Risk
Matt Collins,10,75,17897,3,4,3,343,Loyal Customers
Matt Collister,52,55,11674,1,1,1,111,At Risk
Matt Connell,50,58,13230,1,2,2,122,At Risk
Matt Hagelstein,24,60,12217,2,2,1,221,At Risk
Matthew Clasen,6,80,21805,4,4,4,444,Champions
Matthew Grinstein,20,51,13017,2,1,2,212,At Risk
Maureen Fritzler,49,56,13529,1,2,2,122,At Risk
Maureen Gastineau,37,83,20363,1,4,4,144,Big Spenders
Maureen Gnade,1,74,18326,4,3,3,433,Loyal Customers
Maurice Satty,30,61,10031,2,2,1,221,At Risk
Max Engle,12,72,9924,3,3,1,331,Loyal Customers
Max Jones,22,60,16486,2,2,3,223,At Risk
Max Ludwig,2,63,15534,4,2,3,423,Recent Customers
Maxwell Schwartz,35,73,17928,1,3,3,133,At Risk
Maya Herman,1,62,13592,4,2,2,422,Recent Customers
Meg O'Connel,7,58,18003,4,2,3,423,Recent Customers
Meg Tillman,50,59,15346,1,2,3,123,At Risk
Melanie Seite,5,70,16104,4,3,3,433,Loyal Customers
Michael Chen,2,65,15939,4,3,3,433,Loyal Customers
Michael Dominguez,37,59,22427,1,2,4,124,Big Spenders
Michael Grace,6,61,14532,4,2,2,422,Recent Customers
Michael Granlund,6,63,13185,4,2,2,422,Recent Customers
Michael Kennedy,22,74,14447,2,3,2,232,At Risk
Michael Moore,8,78,21730,3,4,4,344,Loyal Customers
Michael Nguyen,9,55,15047,3,1,2,312,At Risk
Michael Oakman,7,29,5464,4,1,1,411,Recent Customers
Michael Paige,28,94,17796,2,4,3,243,At Risk
Michael Stewart,7,77,17869,4,4,3,443,Loyal Customers
Michelle Arnett,17,59,11933,3,2,1,321,At Risk
Michelle Ellison,43,49,10708,1,1,1,111,At Risk
Michelle Huthwaite,15,50,12851,3,1,2,312,At Risk
Michelle Lonsdale,8,47,10367,3,1,1,311,At Risk
Michelle Moray,16,66,13089,3,3,2,332,Loyal Customers
Michelle Tran,128,68,17779,1,3,3,133,At Risk
Mick Brown,12,71,16451,3,3,3,333,Loyal Customers
Mick Crebagga,42,62,12014,1,2,1,121,At Risk
Mick Hernandez,6,67,13275,4,3,2,432,Loyal Customers
Mike Caudle,52,57,9355,1,2,1,121,At Risk
Mike Gockenbach,3,51,23378,4,1,4,414,Recent Customers
Mike Kennedy,23,82,12741,2,4,2,242,At Risk
Mike Pelletier,17,82,24216,3,4,4,344,Loyal Customers
Mike Vittorini,8,62,19572,3,2,4,324,Big Spenders
Mitch Gastineau,2,68,18010,4,3,3,433,Loyal Customers
Mitch Webber,18,74,23070,2,3,4,234,Big Spenders
Mitch Willingham,1,66,19008,4,3,4,434,Loyal Customers
Monica Federle,8,86,21944,3,4,4,344,Loyal Customers
Muhammed Lee,9,71,15851,3,3,3,333,Loyal Customers
Muhammed MacIntyre,13,55,10720,3,1,1,311,At Risk
Muhammed Yedwab,1,108,29644,4,4,4,444,Champions
Nancy Lomonaco,26,43,10840,2,1,1,211,At Risk
Naresj Patel,2,65,13118,4,3,2,432,Loyal Customers
Nat Carroll,6,76,16613,4,4,3,443,Loyal Customers
Nat Gilpin,49,66,12015,1,3,1,131,At Risk
Natalie DeCherney,13,63,13709,3,2,2,322,At Risk
Natalie Fritzler,2,95,31778,4,4,4,444,Champions
Natalie Webber,118,79,22374,1,4,4,144,Big Spenders
Nathan Cano,40,49,10759,1,1,1,111,At Risk
Nathan Gelder,19,65,22721,2,3,4,234,Big Spenders
Nathan Mautz,31,75,24278,2,4,4,244,Big Spenders
Neil Ducich,6,57,14780,4,2,2,422,Recent Customers
Neil Französisch,7,62,12649,4,2,2,422,Recent Customers
Neil Knudson,27,63,13875,2,2,2,222,At Risk
Neola Schneider,7,75,15801,4,4,3,443,Loyal Customers
Neoma Murray,20,54,13872,2,1,2,212,At Risk
Nick Crebassa,7,50,12302,4,1,2,412,Recent Customers
Nick Radford,3,68,12891,4,3,2,432,Loyal Customers
Nick Zandusky,86,66,20271,1,3,4,134,Big Spenders
Nicole Brennan,429,31,5935,1,1,1,111,At Risk
Nicole Fjeld,12,43,12268,3,1,2,312,At Risk
Nicole Hansen,6,72,21304,4,3,4,434,Loyal Customers
Noah Childs,21,59,17346,2,2,3,223,At Risk
Noel Staavos,37,92,16643,1,4,3,143,At Risk
Nona Balk,20,51,10082,2,1,1,211,At Risk
Nora Paige,59,48,15714,1,1,3,113,At Risk
Nora Pelletier,15,66,16358,3,3,3,333,Loyal Customers
Nora Preis,29,62,15921,2,2,3,223,At Risk
Odella Nelson,48,74,19273,1,3,4,134,Big Spenders
Olvera Toch,34,73,19759,2,3,4,234,Big Spenders
Pamela Coakley,3,48,11940,4,1,1,411,Recent Customers
Pamela Stobb,30,66,17635,2,3,3,233,At Risk
Parhena Norris,16,58,12893,3,2,2,322,At Risk
Patricia Hirasaki,58,41,11182,1,1,1,111,At Risk
Patrick Bzostek,9,62,14858,3,2,2,322,At Risk
Patrick Gardner,21,78,16481,2,4,3,243,At Risk
Patrick Jones,40,45,14442,1,1,2,112,At Risk
Patrick O'Brill,5,102,26712,4,4,4,444,Champions
Patrick O'Donnell,1,78,24025,4,4,4,444,Champions
Patrick Ryan,26,72,14330,2,3,2,232,At Risk
Paul Gonzalez,3,92,15922,4,4,3,443,Loyal Customers
Paul Knutson,99,39,8232,1,1,1,111,At Risk
Paul Lucas,16,47,15015,3,1,2,312,At Risk
Paul MacIntyre,22,48,14346,2,1,2,212,At Risk
Paul Prost,15,79,22247,3,4,4,344,Loyal Customers
Paul Stevenson,28,68,19620,2,3,4,234,Big Spenders
Paul Van Hugh,9,65,18932,3,3,4,334,Loyal Customers
Pauline Chand,22,48,10633,2,1,1,211,At Risk
Pauline Johnson,20,65,15845,2,3,3,233,At Risk
Pauline Webber,8,69,13888,3,3,2,332,Loyal Customers
Penelope Sewall,21,82,30083,2,4,4,244,Big Spenders
Pete Armstrong,24,56,10395,2,2,1,221,At Risk
Pete Kriz,9,73,18657,3,3,3,333,Loyal Customers
Pete Takahito,3,51,13054,4,1,2,412,Recent Customers
Peter Bühler,1,47,9897,4,1,1,411,Recent Customers
Peter Fuller,84,87,29876,1,4,4,144,Big Spenders
Peter McVee,13,46,11288,3,1,1,311,At Risk
Philip Brown,6,76,11386,4,4,1,441,Loyal Customers
Philip Fox,35,67,18031,1,3,3,133,At Risk
Philisse Overcash,30,73,17984,2,3,3,233,At Risk
Phillina Ober,34,69,19099,2,3,4,234,Big Spenders
Phillip Breyer,9,84,24269,3,4,4,344,Loyal Customers
Phillip Flathmann,3,68,13392,4,3,2,432,Loyal Customers
Pierre Wener,2,61,8422,4,2,1,421,Recent Customers
Quincy Jones,26,53,18585,2,1,3,213,At Risk
Rachel Payne,8,74,14998,3,3,2,332,Loyal Customers
Ralph Arnett,6,88,23044,4,4,4,444,Champions
Ralph Kennedy,29,64,13998,2,2,2,222,At Risk
Ralph Ritter,20,54,13584,2,1,2,212,At Risk
Randy Bradley,16,83,22898,3,4,4,344,Loyal Customers
Randy Ferguson,7,63,16598,4,2,3,423,Recent Customers
Raymond Buch,21,71,29601,2,3,4,234,Big Spenders
Raymond Messe,10,62,18317,3,2,3,323,At Risk
Resi Pölking,16,91,22053,3,4,4,344,Loyal Customers
Ricardo Emerson,29,59,14039,2,2,2,222,At Risk
Ricardo Sperren,34,68,14432,2,3,2,232,At Risk
Richard Bierner,20,67,14797,2,3,2,232,At Risk
Richard Eichhorn,16,67,16340,3,3,3,333,Loyal Customers
Rick Bensley,1,79,20854,4,4,4,444,Champions
Rick Duston,1,66,17546,4,3,3,433,Loyal Customers
Rick Hansen,25,56,16356,2,2,3,223,At Risk
Rick Huthwaite,21,58,13438,2,2,2,222,At Risk
Rick Reed,1,73,16382,4,3,3,433,Loyal Customers
Rick Wilson,27,68,25125,2,3,4,234,Big Spenders
Ritsa Hightower,8,60,17695,3,2,3,323,At Risk
Rob Beeghly,21,62,11549,2,2,1,221,At Risk
Rob Dowd,26,90,21482,2,4,4,244,Big Spenders
Rob Haberlin,7,47,7970,4,1,1,411,Recent Customers
Rob Lucas,121,65,17289,1,3,3,133,At Risk
Rob Williams,78,48,9988,1,1,1,111,At Risk
Robert Barroso,151,45,6256,1,1,1,111,At Risk
Robert Dilbeck,28,56,16344,2,2,3,223,At Risk
Robert Marley,5,47,12868,4,1,2,412,Recent Customers
Robert Waldorf,16,64,12596,3,2,2,322,At Risk
Roger Barcio,17,54,15304,3,1,3,313,At Risk
Roger Demir,22,77,14738,2,4,2,242,At Risk
Roland Fjeld,2,59,13090,4,2,2,422,Recent Customers
Roland Murray,17,37,7403,3,1,1,311,At Risk
Roland Schwarz,37,49,15108,1,1,2,112,At Risk
Rose O'Brian,5,79,21912,4,4,4,444,Champions
Ross Baird,31,77,19314,2,4,4,244,Big Spenders
Ross DeVincentis,15,70,10302,3,3,1,331,Loyal Customers
Roy Collins,119,45,7956,1,1,1,111,At Risk
Roy Französisch,7,78,15652,4,4,3,443,Loyal Customers
Roy Phan,22,72,14610,2,3,2,232,At Risk
Roy Skaria,20,56,8121,2,2,1,221,At Risk
Ruben Ausman,44,75,15939,1,4,3,143,At Risk
Ruben Dartt,33,86,18320,2,4,3,243,At Risk
Russell Applegate,13,76,21398,3,4,4,344,Loyal Customers
Russell D'Ascenzo,29,71,15819,2,3,3,233,At Risk
Ryan Akin,2,55,13742,4,1,2,412,Recent Customers
Ryan Crowe,23,50,9539,2,1,1,211,At Risk
Sally Hughsby,26,77,18951,2,4,4,244,Big Spenders
Sally Knutson,9,62,13292,3,2,2,322,At Risk
Sally Matthias,105,54,13063,1,1,2,112,At Risk
Sam Craven,9,69,11056,3,3,1,331,Loyal Customers
Sam Zeldin,14,77,16361,3,4,3,343,Loyal Customers
Sample Company A,41,90,19129,1,4,4,144,Big Spenders
Sandra Flanagan,59,51,11259,1,1,1,111,At Risk
Sandra Glassco,4,50,11853,4,1,1,411,Recent Customers
Sanjit Chand,76,69,26524,1,3,4,134,Big Spenders
Sanjit Engle,10,82,30143,3,4,4,344,Loyal Customers
Sanjit Jacobs,33,79,13521,2,4,2,242,At Risk
Saphhira Shifley,16,84,23632,3,4,4,344,Loyal Customers
Sara Luxemburg,30,82,16827,2,4,3,243,At Risk
Sarah Bern,3,50,14603,4,1,2,412,Recent Customers
Sarah Brown,75,71,22300,1,3,4,134,Big Spenders
Sarah Foster,6,73,15659,4,3,3,433,Loyal Customers
Sarah Jordon,29,79,16070,2,4,3,243,At Risk
Scot Coram,17,64,22129,3,2,4,324,Big Spenders
Scot Wooten,13,56,15479,3,2,3,323,At Risk
Scott Cohen,1,74,12537,4,3,2,432,Loyal Customers
Scott Williamson,22,68,17044,2,3,3,233,At Risk
Sean Braxton,42,53,20514,1,1,4,114,Big Spenders
Sean Christensen,17,76,20907,3,4,4,344,Loyal Customers
Sean Miller,22,50,35170,2,1,4,214,Big Spenders
Sean O'Donnell,30,60,16366,2,2,3,223,At Risk
Sean Wendt,13,46,8168,3,1,1,311,At Risk
Seth Vernon,88,85,23640,1,4,4,144,Big Spenders
Shahid Collister,31,85,17678,2,4,3,243,At Risk
Shahid Hopkins,24,68,12979,2,3,2,232,At Risk
Shahid Shariari,27,67,18107,2,3,3,233,At Risk
Sharelle Roach,9,52,13005,3,1,2,312,At Risk
Shaun Chance,10,56,9610,3,2,1,321,At Risk
Shaun Weien,8,42,8247,3,1,1,311,At Risk
Sheri Gordon,91,59,13818,1,2,2,122,At Risk
Shirley Daniels,16,85,17959,3,4,3,343,Loyal Customers
Shirley Jackson,176,52,13385,1,1,2,112,At Risk
Shirley Schmidt,1,36,7903,4,1,1,411,Recent Customers
Shui Tom,7,65,15006,4,3,2,432,Loyal Customers
Sibella Parks,17,36,7221,3,1,1,311,At Risk
Skye Norling,14,67,14225,3,3,2,332,Loyal Customers
Sonia Cooley,28,57,10012,2,2,1,221,At Risk
Sonia Sunley,6,61,13118,4,2,2,422,Recent Customers
Speros Goranitis,76,66,12948,1,3,2,132,At Risk
Stefania Perrino,6,78,19418,4,4,4,444,Champions
Stefanie Holloman,31,55,14205,2,1,2,212,At Risk
Stephanie Phelps,21,46,11151,2,1,1,211,At Risk
Stephanie Ulpright,5,72,10779,4,3,1,431,Loyal Customers
Steve Carroll,22,71,19823,2,3,4,234,Big Spenders
Steve Chapman,10,74,23401,3,3,4,334,Loyal Customers
Steve Nguyen,45,61,13404,1,2,2,122,At Risk
Steven Cartwright,8,73,16918,3,3,3,333,Loyal Customers
Steven Roelle,22,65,19374,2,3,4,234,Big Spenders
Steven Ward,16,106,25669,3,4,4,344,Loyal Customers
Stewart Carmichael,41,83,16529,1,4,3,143,At Risk
Stewart Visinsky,22,75,17232,2,4,3,243,At Risk
Stuart Calhoun,31,45,11409,2,1,1,211,At Risk
Stuart Van,9,62,22308,3,2,4,324,Big Spenders
Sue Ann Reed,11,64,16494,3,2,3,323,At Risk
Sung Chung,9,46,11265,3,1,1,311,At Risk
Sung Pak,55,52,13496,1,1,2,112,At Risk
Sung Shariari,15,43,5331,3,1,1,311,At Risk
Susan Gilcrest,17,58,12686,3,2,2,322,At Risk
Susan MacKendrick,38,41,8634,1,1,1,111,At Risk
Susan Pistek,7,68,29020,4,3,4,434,Loyal Customers
Susan Vittorini,1,67,15689,4,3,3,433,Loyal Customers
Suzanne McNair,26,64,12888,2,2,2,222,At Risk
Sylvia Foulston,49,47,9257,1,1,1,111,At Risk
Tamara Chand,28,88,37453,2,4,4,244,Big Spenders
Tamara Dahlen,1,58,7704,4,2,1,421,Recent Customers
Tamara Manning,65,55,14461,1,1,2,112,At Risk
Tamara Willingham,20,59,14256,2,2,2,222,At Risk
Tanja Norvell,23,53,9595,2,1,1,211,At Risk
Ted Butterfield,36,76,16030,1,4,3,143,At Risk
Ted Trevino,15,64,17245,3,2,3,323,At Risk
Thais Sissman,42,60,6787,1,2,1,121,At Risk
Thea Hendricks,7,59,15541,4,2,3,423,Recent Customers
Thea Hudgings,44,64,15353,1,2,3,123,At Risk
Theone Pippenger,3,88,23965,4,4,4,444,Champions
Theresa Coyne,12,84,22219,3,4,4,344,Loyal Customers
Theresa Swint,9,63,7936,3,2,1,321,At Risk
Thomas Boland,40,69,17427,1,3,3,133,At Risk
Thomas Brumley,50,38,11805,1,1,1,111,At Risk
Thomas Seio,27,68,14530,2,3,2,232,At Risk
Thomas Thornton,6,63,15055,4,2,2,422,Recent Customers
Tiffany House,9,67,16804,3,3,3,333,Loyal Customers
Tim Brockman,2,89,19103,4,4,4,444,Champions
Tim Taslimi,2,55,9780,4,1,1,411,Recent Customers
Toby Braunhardt,58,67,11699,1,3,1,131,At Risk
Toby Carlisle,13,67,20126,3,3,4,334,Loyal Customers
Toby Gnade,15,63,13021,3,2,2,322,At Risk
Toby Ritter,2,65,12427,4,3,2,432,Loyal Customers
Toby Swindell,9,76,18632,3,4,3,343,Loyal Customers
Todd Boyes,15,67,9647,3,3,1,331,Loyal Customers
Todd Sumrall,19,75,27775,2,4,4,244,Big Spenders
Tom Ashbrook,9,80,40489,3,4,4,344,Loyal Customers
Tom Boeckenhauer,26,93,24480,2,4,4,244,Big Spenders
Tom Prescott,49,50,12874,1,1,2,112,At Risk
Tom Stivers,20,69,15345,2,3,3,233,At Risk
Tom Zandusky,9,73,15348,3,3,3,333,Loyal Customers
Tonja Turnell,13,84,20085,3,4,4,344,Loyal Customers
Tony Chapman,2,67,12633,4,3,2,432,Loyal Customers
Tony Molinari,41,80,15973,1,4,3,143,At Risk
Tony Sayre,12,66,19734,3,3,4,334,Loyal Customers
Tracy Blumstein,19,91,20704,2,4,4,244,Big Spenders
Tracy Collins,1,55,11099,4,1,1,411,Recent Customers
Tracy Hopkins,6,55,13095,4,1,2,412,Recent Customers
Tracy Poddar,15,68,13289,3,3,2,332,Loyal Customers
Tracy Zic,36,48,10860,1,1,1,111,At Risk
Troy Blackwell,29,46,9187,2,1,1,211,At Risk
Troy Staebel,21,83,22579,2,4,4,244,Big Spenders
Trudy Brown,31,69,15078,2,3,2,232,At Risk
Trudy Glocke,6,75,18883,4,4,4,444,Champions
Trudy Schmidt,85,56,9980,1,2,1,121,At Risk
Valerie Dominguez,1,67,15987,4,3,3,433,Loyal Customers
Valerie Mitchum,14,68,14567,3,3,2,332,Loyal Customers
Valerie Takahito,8,72,19368,3,3,4,334,Loyal Customers
Vicky Freymann,14,49,12600,3,1,2,312,At Risk
Victor Preis,29,58,12063,2,2,1,221,At Risk
Victoria Brennan,5,45,10745,4,1,1,411,Recent Customers
Victoria Pisteka,76,60,18554,1,2,3,123,At Risk
Victoria Wilson,7,66,17039,4,3,3,433,Loyal Customers
Vivek Gonzalez,111,50,10296,1,1,1,111,At Risk
Vivek Grady,3,61,23767,4,2,4,424,Recent Customers
Vivek Sundaresam,23,40,11413,2,1,1,211,At Risk
Vivian Mathis,9,36,3891,3,1,1,311,At Risk
William Brown,21,84,16886,2,4,3,243,At Risk
Xylona Preis,44,61,12202,1,2,1,121,At Risk
Yana Sorensen,5,62,20034,4,2,4,424,Recent Customers
Yoseph Carroll,5,56,20165,4,2,4,424,Recent Customers
Zuschuss Carroll,4,85,28485,4,4,4,444,Champions
Zuschuss Donatelli,2,54,12434,4,1,2,412,Recent Customers
